sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
13A	map01212	Fatty acid metabolism	1836	38	84	45.24	38	918
42A	map05417	Lipid and atherosclerosis	1834	5	160	3.12	5	917
3A	map00480	Glutathione metabolism	1832	23	57	40.35	23	916
14A	map00564	Glycerophospholipid metabolism	1832	38	120	31.67	38	916
13A	map02030	Bacterial chemotaxis	1822	20	26	76.92	20	911
46A	map04981	Folate transport and metabolism	1822	7	24	29.17	7	911
14A	map04122	Sulfur relay system	1820	22	29	75.86	22	910
14A	map00650	Butanoate metabolism	1818	63	115	54.78	63	909
3A	map02025	Biofilm formation - Pseudomonas aeruginosa	1812	44	90	48.89	44	906
49A	map02025	Biofilm formation - Pseudomonas aeruginosa	1812	55	90	61.11	55	906
5A	map05230	Central carbon metabolism in cancer	1806	9	49	18.37	9	903
42A	map00740	Riboflavin metabolism	1802	20	55	36.36	20	901
1A	map00470	D-Amino acid metabolism	1800	26	55	47.27	26	900
5A	map00900	Terpenoid backbone biosynthesis	1798	21	64	32.81	21	899
47A	map04727	GABAergic synapse	1798	3	69	4.35	3	899
1A	map00460	Cyanoamino acid metabolism	1796	9	37	24.32	9	898
47A	map04724	Glutamatergic synapse	1796	3	90	3.33	3	898
42A	map00540	Lipopolysaccharide biosynthesis	1788	16	50	32	16	894
46A	map00740	Riboflavin metabolism	1788	20	55	36.36	20	894
5A	map00480	Glutathione metabolism	1782	21	57	36.84	21	891
47A	map00020	Citrate cycle (TCA cycle)	1780	37	70	52.86	37	890
42A	map00561	Glycerolipid metabolism	1776	18	99	18.18	18	888
49A	map00290	"Valine, leucine and isoleucine biosynthesis"	1774	15	19	78.95	15	887
49A	map00540	Lipopolysaccharide biosynthesis	1774	22	50	44	22	887
5A	map00020	Citrate cycle (TCA cycle)	1768	37	70	52.86	37	884
3A	map00540	Lipopolysaccharide biosynthesis	1764	20	50	40	20	882
13A	map02026	Biofilm formation - Escherichia coli	1764	31	61	50.82	31	882
3A	map04981	Folate transport and metabolism	1762	7	24	29.17	7	881
1A	map05208	Chemical carcinogenesis - reactive oxygen species	1756	16	175	9.14	16	878
5A	map02030	Bacterial chemotaxis	1756	15	26	57.69	15	878
1A	map00290	"Valine, leucine and isoleucine biosynthesis"	1752	15	19	78.95	15	876
13A	map00920	Sulfur metabolism	1752	71	132	53.79	71	876
14A	map03018	RNA degradation	1752	27	79	34.18	27	876
14A	map00051	Fructose and mannose metabolism	1750	53	121	43.8	53	875
5A	map05208	Chemical carcinogenesis - reactive oxygen species	1746	17	175	9.71	17	873
47A	map00480	Glutathione metabolism	1746	21	57	36.84	21	873
49A	map05208	Chemical carcinogenesis - reactive oxygen species	1742	21	175	12	21	871
42A	map00900	Terpenoid backbone biosynthesis	1740	23	64	35.94	23	870
46A	map00480	Glutathione metabolism	1738	22	57	38.6	22	869
49A	map05417	Lipid and atherosclerosis	1738	5	160	3.12	5	869
13A	map00480	Glutathione metabolism	1736	24	57	42.11	24	868
49A	map00541	Biosynthesis of various nucleotide sugars	1732	53	135	39.26	53	866
47A	map04930	Type II diabetes mellitus	1726	1	37	2.7	1	863
13A	map00450	Selenocompound metabolism	1722	17	36	47.22	17	861
5A	map05417	Lipid and atherosclerosis	1718	4	160	2.5	4	859
14A	map01523	Antifolate resistance	1708	6	26	23.08	6	854
13A	map00900	Terpenoid backbone biosynthesis	1690	30	64	46.88	30	845
42A	map00460	Cyanoamino acid metabolism	1678	8	37	21.62	8	839
14A	map00480	Glutathione metabolism	1672	23	57	40.35	23	836
5A	map00500	Starch and sucrose metabolism	1670	30	109	27.52	30	835
14A	map00020	Citrate cycle (TCA cycle)	1670	43	70	61.43	43	835
46A	map02025	Biofilm formation - Pseudomonas aeruginosa	1668	46	90	51.11	46	834
46A	map05230	Central carbon metabolism in cancer	1664	9	49	18.37	9	832
47A	map00561	Glycerolipid metabolism	1664	15	99	15.15	15	832
5A	map00460	Cyanoamino acid metabolism	1654	8	37	21.62	8	827
47A	map00540	Lipopolysaccharide biosynthesis	1654	16	50	32	16	827
42A	map00450	Selenocompound metabolism	1652	16	36	44.44	16	826
1A	map05417	Lipid and atherosclerosis	1646	4	160	2.5	4	823
14A	map01212	Fatty acid metabolism	1638	37	84	44.05	37	819
14A	map00920	Sulfur metabolism	1636	66	132	50	66	818
42A	map01212	Fatty acid metabolism	1636	31	84	36.9	31	818
47A	map00290	"Valine, leucine and isoleucine biosynthesis"	1636	14	19	73.68	14	818
14A	map05208	Chemical carcinogenesis - reactive oxygen species	1628	38	175	21.71	38	814
1A	map00450	Selenocompound metabolism	1626	18	36	50	18	813
42A	map00500	Starch and sucrose metabolism	1626	36	109	33.03	36	813
42A	map05230	Central carbon metabolism in cancer	1626	7	49	14.29	7	813
42A	map04727	GABAergic synapse	1624	3	69	4.35	3	812
3A	map00740	Riboflavin metabolism	1622	19	55	34.55	19	811
13A	map05208	Chemical carcinogenesis - reactive oxygen species	1622	33	175	18.86	33	811
42A	map04724	Glutamatergic synapse	1622	3	90	3.33	3	811
3A	map05230	Central carbon metabolism in cancer	1620	8	49	16.33	8	810
14A	map02026	Biofilm formation - Escherichia coli	1618	31	61	50.82	31	809
49A	map00450	Selenocompound metabolism	1612	19	36	52.78	19	806
3A	map01212	Fatty acid metabolism	1610	31	84	36.9	31	805
47A	map00450	Selenocompound metabolism	1610	13	36	36.11	13	805
49A	map00195	Photosynthesis	1610	44	63	69.84	44	805
13A	map04981	Folate transport and metabolism	1602	7	24	29.17	7	801
13A	map00740	Riboflavin metabolism	1600	27	55	49.09	27	800
46A	map05417	Lipid and atherosclerosis	1600	5	160	3.12	5	800
1A	map04142	Lysosome biogenesis	1598	8	204	3.92	8	799
5A	map00561	Glycerolipid metabolism	1594	18	99	18.18	18	797
47A	map00562	Inositol phosphate metabolism	1592	13	79	16.46	13	796
49A	map00330	Arginine and proline metabolism	1592	56	115	48.7	56	796
5A	map05203	Viral carcinogenesis	1590	5	174	2.87	5	795
42A	map02025	Biofilm formation - Pseudomonas aeruginosa	1584	35	90	38.89	35	792
46A	map00290	"Valine, leucine and isoleucine biosynthesis"	1584	14	19	73.68	14	792
5A	map05165	Human papillomavirus infection	1576	3	231	1.3	3	788
5A	map04727	GABAergic synapse	1566	3	69	4.35	3	783
49A	map04727	GABAergic synapse	1566	3	69	4.35	3	783
1A	map05203	Viral carcinogenesis	1564	6	174	3.45	6	782
1A	map05165	Human papillomavirus infection	1562	5	231	2.16	5	781
5A	map04724	Glutamatergic synapse	1562	2	90	2.22	2	781
5A	map00540	Lipopolysaccharide biosynthesis	1558	14	50	28	14	779
49A	map05418	Fluid shear stress and atherosclerosis	1558	6	99	6.06	6	779
46A	map04931	Insulin resistance	1554	7	74	9.46	7	777
49A	map04724	Glutamatergic synapse	1548	2	90	2.22	2	774
47A	map00999	Biosynthesis of various plant secondary metabolites	1546	3	74	4.05	3	773
49A	map00640	Propanoate metabolism	1546	56	104	53.85	56	773
46A	map00470	D-Amino acid metabolism	1540	25	55	45.45	25	770
46A	map05208	Chemical carcinogenesis - reactive oxygen species	1540	27	175	15.43	27	770
1A	map00511	Other glycan degradation	1528	8	22	36.36	8	764
49A	map00460	Cyanoamino acid metabolism	1526	9	37	24.32	9	763
5A	map04930	Type II diabetes mellitus	1522	1	37	2.7	1	761
1A	map00541	Biosynthesis of various nucleotide sugars	1520	45	135	33.33	45	760
3A	map05208	Chemical carcinogenesis - reactive oxygen species	1520	14	175	8	14	760
1A	map04930	Type II diabetes mellitus	1518	1	37	2.7	1	759
46A	map00195	Photosynthesis	1506	44	63	69.84	44	753
