sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
42A	map04115	p53 signaling pathway	254	1	69	1.45	1	127
42A	map05210	Colorectal cancer	254	1	72	1.39	1	127
42A	map05222	Small cell lung cancer	254	1	74	1.35	1	127
42A	map05145	Toxoplasmosis	254	1	95	1.05	1	127
42A	map05167	Kaposi sarcoma-associated herpesvirus infection	254	1	168	0.6	1	127
42A	map05163	Human cytomegalovirus infection	254	1	193	0.52	1	127
46A	map04260	Cardiac muscle contraction	254	5	67	7.46	5	127
3A	map04260	Cardiac muscle contraction	252	4	67	5.97	4	126
14A	map03008	Ribosome biogenesis in eukaryotes	252	15	83	18.07	15	126
47A	map00600	Sphingolipid metabolism	252	11	58	18.97	11	126
49A	map04964	Proximal tubule bicarbonate reclamation	252	3	14	21.43	3	126
13A	map00984	Steroid degradation	250	32	43	74.42	32	125
46A	map00907	"Pinene, camphor and geraniol degradation"	250	6	25	24	6	125
14A	map05130	Pathogenic Escherichia coli infection	248	8	152	5.26	8	124
47A	map04210	Apoptosis	248	3	112	2.68	3	124
49A	map00364	Fluorobenzoate degradation	248	7	18	38.89	7	124
49A	map00074	Mycolic acid biosynthesis	248	8	35	22.86	8	124
13A	map03022	Basal transcription factors	244	5	36	13.89	5	122
13A	map00940	Phenylpropanoid biosynthesis	244	4	33	12.12	4	122
13A	map04914	Progesterone-mediated oocyte maturation	244	3	65	4.62	3	122
13A	map05130	Pathogenic Escherichia coli infection	244	3	152	1.97	3	122
47A	map04918	Thyroid hormone synthesis	244	2	53	3.77	2	122
14A	map00623	Toluene degradation	242	10	46	21.74	10	121
47A	map05161	Hepatitis B	242	2	132	1.52	2	121
13A	map04612	Antigen processing and presentation	240	2	48	4.17	2	120
13A	map05161	Hepatitis B	240	2	132	1.52	2	120
42A	map04918	Thyroid hormone synthesis	240	3	53	5.66	3	120
49A	map05130	Pathogenic Escherichia coli infection	240	5	152	3.29	5	120
13A	map04210	Apoptosis	238	3	112	2.68	3	119
13A	map04915	Estrogen signaling pathway	238	1	78	1.28	1	119
13A	map04657	IL-17 signaling pathway	238	1	80	1.25	1	119
13A	map04659	Th17 cell differentiation	238	1	87	1.15	1	119
13A	map05215	Prostate cancer	238	1	87	1.15	1	119
1A	map00523	Polyketide sugar unit biosynthesis	234	6	59	10.17	6	117
3A	map00643	Styrene degradation	234	12	25	48	12	117
3A	map00940	Phenylpropanoid biosynthesis	234	3	33	9.09	3	117
14A	map04210	Apoptosis	234	4	112	3.57	4	117
14A	map05161	Hepatitis B	234	3	132	2.27	3	117
47A	map00261	Monobactam biosynthesis	234	9	28	32.14	9	117
47A	map05130	Pathogenic Escherichia coli infection	234	3	152	1.97	3	117
5A	map03008	Ribosome biogenesis in eukaryotes	232	10	83	12.05	10	116
49A	map00623	Toluene degradation	232	12	46	26.09	12	116
1A	map04917	Prolactin signaling pathway	230	1	57	1.75	1	115
14A	map00940	Phenylpropanoid biosynthesis	230	3	33	9.09	3	115
1A	map00531	Glycosaminoglycan degradation	228	3	15	20	3	114
3A	map00907	"Pinene, camphor and geraniol degradation"	228	8	25	32	8	114
47A	map05164	Influenza A	228	3	128	2.34	3	114
47A	map05169	Epstein-Barr virus infection	228	4	173	2.31	4	114
47A	map05416	Viral myocarditis	226	3	47	6.38	3	113
47A	map05160	Hepatitis C	226	2	109	1.83	2	113
47A	map05162	Measles	226	2	114	1.75	2	113
47A	map05168	Herpes simplex virus 1 infection	226	2	147	1.36	2	113
47A	map05170	Human immunodeficiency virus 1 infection	226	2	164	1.22	2	113
5A	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	224	2	16	12.5	2	112
46A	map00633	Nitrotoluene degradation	224	14	23	60.87	14	112
46A	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	224	3	16	18.75	3	112
46A	map05017	Spinocerebellar ataxia	224	18	116	15.52	18	112
5A	map00643	Styrene degradation	222	13	25	52	13	111
47A	map04215	Apoptosis - multiple species	222	1	40	2.5	1	111
47A	map04115	p53 signaling pathway	222	1	69	1.45	1	111
47A	map05210	Colorectal cancer	222	1	72	1.39	1	111
47A	map05222	Small cell lung cancer	222	1	74	1.35	1	111
47A	map05145	Toxoplasmosis	222	1	95	1.05	1	111
47A	map05167	Kaposi sarcoma-associated herpesvirus infection	222	1	168	0.6	1	111
47A	map05163	Human cytomegalovirus infection	222	1	193	0.52	1	111
49A	map05131	Shigellosis	222	5	204	2.45	5	111
49A	map00625	Chloroalkane and chloroalkene degradation	220	14	43	32.56	14	110
1A	map04964	Proximal tubule bicarbonate reclamation	218	3	14	21.43	3	109
1A	map05166	Human T-cell leukemia virus 1 infection	218	2	191	1.05	2	109
42A	map00310	Lysine degradation	218	20	99	20.2	20	109
47A	map04011	MAPK signaling pathway - yeast	218	1	91	1.1	1	109
49A	map00513	Various types of N-glycan biosynthesis	218	4	56	7.14	4	109
5A	map05142	Chagas disease	216	2	85	2.35	2	108
13A	map05164	Influenza A	216	4	128	3.12	4	108
13A	map00053	Ascorbate and aldarate metabolism	214	21	63	33.33	21	107
13A	map05160	Hepatitis C	214	3	109	2.75	3	107
13A	map00625	Chloroalkane and chloroalkene degradation	212	10	43	23.26	10	106
13A	map05162	Measles	212	2	114	1.75	2	106
13A	map05168	Herpes simplex virus 1 infection	212	2	147	1.36	2	106
14A	map05169	Epstein-Barr virus infection	212	7	173	4.05	7	106
46A	map00310	Lysine degradation	212	20	99	20.2	20	106
46A	map00361	Chlorocyclohexane and chlorobenzene degradation	212	7	41	17.07	7	106
49A	map00604	Glycosphingolipid biosynthesis - ganglio series	212	2	14	14.29	2	106
3A	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	210	3	16	18.75	3	105
13A	map05170	Human immunodeficiency virus 1 infection	210	4	164	2.44	4	105
1A	map00074	Mycolic acid biosynthesis	208	8	35	22.86	8	104
5A	map04614	Renin-angiotensin system	208	1	22	4.55	1	104
5A	map04924	Renin secretion	208	1	50	2	1	104
5A	map05410	Hypertrophic cardiomyopathy	208	1	87	1.15	1	104
13A	map00405	Phenazine biosynthesis	208	5	16	31.25	5	104
14A	map05160	Hepatitis C	208	5	109	4.59	5	104
14A	map05162	Measles	208	5	114	4.39	5	104
14A	map05164	Influenza A	208	5	128	3.91	5	104
3A	map00074	Mycolic acid biosynthesis	206	6	35	17.14	6	103
5A	map04011	MAPK signaling pathway - yeast	206	2	91	2.2	2	103
13A	map05169	Epstein-Barr virus infection	206	3	173	1.73	3	103
46A	map04011	MAPK signaling pathway - yeast	206	3	91	3.3	3	103
1A	map00364	Fluorobenzoate degradation	204	4	18	22.22	4	102
1A	map00333	Prodigiosin biosynthesis	204	4	21	19.05	4	102
1A	map04011	MAPK signaling pathway - yeast	204	1	91	1.1	1	102
13A	map05416	Viral myocarditis	204	2	47	4.26	2	102
14A	map00600	Sphingolipid metabolism	204	13	58	22.41	13	102
14A	map05168	Herpes simplex virus 1 infection	204	3	147	2.04	3	102
46A	map00333	Prodigiosin biosynthesis	204	4	21	19.05	4	102
46A	map05131	Shigellosis	204	13	204	6.37	13	102
49A	map00405	Phenazine biosynthesis	204	5	16	31.25	5	102
49A	map04210	Apoptosis	204	3	112	2.68	3	102
1A	map05340	Primary immunodeficiency	202	3	37	8.11	3	101
1A	map05142	Chagas disease	202	2	85	2.35	2	101
3A	map04614	Renin-angiotensin system	202	2	22	9.09	2	101
13A	map00511	Other glycan degradation	202	9	22	40.91	9	101
13A	map00073	"Cutin, suberine and wax biosynthesis"	202	3	21	14.29	3	101
13A	map05166	Human T-cell leukemia virus 1 infection	202	6	191	3.14	6	101
13A	map04215	Apoptosis - multiple species	202	1	40	2.5	1	101
13A	map04115	p53 signaling pathway	202	1	69	1.45	1	101
13A	map05210	Colorectal cancer	202	1	72	1.39	1	101
13A	map05222	Small cell lung cancer	202	1	74	1.35	1	101
13A	map05145	Toxoplasmosis	202	1	95	1.05	1	101
13A	map05167	Kaposi sarcoma-associated herpesvirus infection	202	1	168	0.6	1	101
13A	map05163	Human cytomegalovirus infection	202	1	193	0.52	1	101
14A	map05170	Human immunodeficiency virus 1 infection	202	4	164	2.44	4	101
14A	map05167	Kaposi sarcoma-associated herpesvirus infection	202	3	168	1.79	3	101
47A	map00364	Fluorobenzoate degradation	202	3	18	16.67	3	101
3A	map04214	Apoptosis - fly	200	4	56	7.14	4	100
3A	map05142	Chagas disease	200	2	85	2.35	2	100
3A	map04011	MAPK signaling pathway - yeast	200	1	91	1.1	1	100
14A	map04215	Apoptosis - multiple species	200	2	40	5	2	100
14A	map05416	Viral myocarditis	200	2	47	4.26	2	100
14A	map04148	Efferocytosis	200	5	131	3.82	5	100
46A	map00643	Styrene degradation	200	12	25	48	12	100
1A	map04614	Renin-angiotensin system	198	2	22	9.09	2	99
5A	map00364	Fluorobenzoate degradation	198	3	18	16.67	3	99
13A	map00622	Xylene degradation	198	10	34	29.41	10	99
14A	map05210	Colorectal cancer	198	2	72	2.78	2	99
14A	map05222	Small cell lung cancer	198	2	74	2.7	2	99
14A	map05163	Human cytomegalovirus infection	198	2	193	1.04	2	99
3A	map04113	Meiosis - yeast	196	3	103	2.91	3	98
3A	map05410	Hypertrophic cardiomyopathy	196	2	87	2.3	2	98
5A	map05131	Shigellosis	196	5	204	2.45	5	98
14A	map04918	Thyroid hormone synthesis	196	3	53	5.66	3	98
14A	map04115	p53 signaling pathway	196	1	69	1.45	1	98
14A	map05145	Toxoplasmosis	196	1	95	1.05	1	98
42A	map00074	Mycolic acid biosynthesis	196	5	35	14.29	5	98
49A	map04011	MAPK signaling pathway - yeast	196	1	91	1.1	1	98
1A	map04080	Neuroactive ligand-receptor interaction	194	3	332	0.9	3	97
3A	map00364	Fluorobenzoate degradation	194	4	18	22.22	4	97
3A	map04924	Renin secretion	194	1	50	2	1	97
5A	map05130	Pathogenic Escherichia coli infection	194	4	152	2.63	4	97
14A	map00074	Mycolic acid biosynthesis	194	7	35	20	7	97
14A	map03022	Basal transcription factors	194	6	36	16.67	6	97
46A	map04917	Prolactin signaling pathway	194	1	57	1.75	1	97
47A	map05166	Human T-cell leukemia virus 1 infection	194	3	191	1.57	3	97
5A	map04210	Apoptosis	192	2	112	1.79	2	96
14A	map00625	Chloroalkane and chloroalkene degradation	192	10	43	23.26	10	96
14A	map05166	Human T-cell leukemia virus 1 infection	192	8	191	4.19	8	96
47A	map00623	Toluene degradation	192	4	46	8.7	4	96
13A	map00600	Sphingolipid metabolism	190	14	58	24.14	14	95
14A	map00440	Phosphonate and phosphinate metabolism	190	15	47	31.91	15	95
46A	map00531	Glycosaminoglycan degradation	190	3	15	20	3	95
49A	map05169	Epstein-Barr virus infection	190	7	173	4.05	7	95
49A	map05166	Human T-cell leukemia virus 1 infection	190	5	191	2.62	5	95
49A	map05142	Chagas disease	190	2	85	2.35	2	95
1A	map00623	Toluene degradation	188	6	46	13.04	6	94
42A	map04148	Efferocytosis	188	3	131	2.29	3	94
49A	map00946	Degradation of flavonoids	188	4	21	19.05	4	94
49A	map04113	Meiosis - yeast	188	4	103	3.88	4	94
1A	map04924	Renin secretion	186	1	50	2	1	93
1A	map05410	Hypertrophic cardiomyopathy	186	1	87	1.15	1	93
3A	map00523	Polyketide sugar unit biosynthesis	186	6	59	10.17	6	93
5A	map00907	"Pinene, camphor and geraniol degradation"	186	6	25	24	6	93
5A	map05161	Hepatitis B	186	2	132	1.52	2	93
13A	map02060	Phosphotransferase system (PTS)	186	18	72	25	18	93
13A	map03450	Non-homologous end-joining	186	3	19	15.79	3	93
42A	map00984	Steroid degradation	186	22	43	51.16	22	93
49A	map00053	Ascorbate and aldarate metabolism	186	19	63	30.16	19	93
49A	map05162	Measles	186	4	114	3.51	4	93
1A	map04979	Cholesterol metabolism	184	1	51	1.96	1	92
14A	map00523	Polyketide sugar unit biosynthesis	184	8	59	13.56	8	92
46A	map05142	Chagas disease	184	4	85	4.71	4	92
47A	map00074	Mycolic acid biosynthesis	184	3	35	8.57	3	92
49A	map04920	Adipocytokine signaling pathway	184	3	54	5.56	3	92
49A	map05161	Hepatitis B	184	2	132	1.52	2	92
49A	map05170	Human immunodeficiency virus 1 infection	184	2	164	1.22	2	92
3A	map00984	Steroid degradation	182	21	43	48.84	21	91
47A	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	182	2	16	12.5	2	91
49A	map05160	Hepatitis C	182	2	109	1.83	2	91
49A	map05164	Influenza A	182	2	128	1.56	2	91
49A	map05168	Herpes simplex virus 1 infection	182	2	147	1.36	2	91
3A	map04917	Prolactin signaling pathway	180	1	57	1.75	1	90
5A	map00623	Toluene degradation	180	3	46	6.52	3	90
5A	map05169	Epstein-Barr virus infection	180	3	173	1.73	3	90
5A	map05170	Human immunodeficiency virus 1 infection	180	2	164	1.22	2	90
46A	map04113	Meiosis - yeast	180	9	103	8.74	9	90
49A	map05416	Viral myocarditis	180	2	47	4.26	2	90
49A	map04115	p53 signaling pathway	180	2	69	2.9	2	90
49A	map05222	Small cell lung cancer	180	2	74	2.7	2	90
3A	map04964	Proximal tubule bicarbonate reclamation	178	3	14	21.43	3	89
5A	map05416	Viral myocarditis	178	2	47	4.26	2	89
5A	map05222	Small cell lung cancer	178	2	74	2.7	2	89
14A	map00405	Phenazine biosynthesis	178	4	16	25	4	89
14A	map00073	"Cutin, suberine and wax biosynthesis"	178	3	21	14.29	3	89
46A	map00513	Various types of N-glycan biosynthesis	178	8	56	14.29	8	89
46A	map00622	Xylene degradation	178	4	34	11.76	4	89
46A	map05410	Hypertrophic cardiomyopathy	178	3	87	3.45	3	89
47A	map05142	Chagas disease	178	2	85	2.35	2	89
49A	map04215	Apoptosis - multiple species	178	1	40	2.5	1	89
49A	map05210	Colorectal cancer	178	1	72	1.39	1	89
49A	map05145	Toxoplasmosis	178	1	95	1.05	1	89
49A	map05167	Kaposi sarcoma-associated herpesvirus infection	178	1	168	0.6	1	89
49A	map05163	Human cytomegalovirus infection	178	1	193	0.52	1	89
3A	map00623	Toluene degradation	176	4	46	8.7	4	88
5A	map04215	Apoptosis - multiple species	176	1	40	2.5	1	88
5A	map04115	p53 signaling pathway	176	1	69	1.45	1	88
5A	map05210	Colorectal cancer	176	1	72	1.39	1	88
5A	map05145	Toxoplasmosis	176	1	95	1.05	1	88
5A	map05160	Hepatitis C	176	1	109	0.92	1	88
5A	map05162	Measles	176	1	114	0.88	1	88
5A	map05164	Influenza A	176	1	128	0.78	1	88
5A	map05168	Herpes simplex virus 1 infection	176	1	147	0.68	1	88
5A	map05167	Kaposi sarcoma-associated herpesvirus infection	176	1	168	0.6	1	88
5A	map05163	Human cytomegalovirus infection	176	1	193	0.52	1	88
46A	map04614	Renin-angiotensin system	176	2	22	9.09	2	88
49A	map04614	Renin-angiotensin system	176	2	22	9.09	2	88
1A	map00513	Various types of N-glycan biosynthesis	174	2	56	3.57	2	87
13A	map00401	Novobiocin biosynthesis	174	8	30	26.67	8	87
14A	map00511	Other glycan degradation	174	8	22	36.36	8	87
42A	map04917	Prolactin signaling pathway	174	1	57	1.75	1	87
46A	map00523	Polyketide sugar unit biosynthesis	174	5	59	8.47	5	87
46A	map04924	Renin secretion	174	1	50	2	1	87
49A	map01051	Biosynthesis of ansamycins	174	2	32	6.25	2	87
1A	map00946	Degradation of flavonoids	172	4	21	19.05	4	86
1A	map00604	Glycosphingolipid biosynthesis - ganglio series	172	1	14	7.14	1	86
1A	map04113	Meiosis - yeast	172	2	103	1.94	2	86
13A	map00523	Polyketide sugar unit biosynthesis	172	6	59	10.17	6	86
14A	map00622	Xylene degradation	172	12	34	35.29	12	86
42A	map04011	MAPK signaling pathway - yeast	172	1	91	1.1	1	86
47A	map00907	"Pinene, camphor and geraniol degradation"	172	6	25	24	6	86
49A	map00401	Novobiocin biosynthesis	172	6	30	20	6	86
49A	map04080	Neuroactive ligand-receptor interaction	172	3	332	0.9	3	86
13A	map00440	Phosphonate and phosphinate metabolism	170	14	47	29.79	14	85
14A	map04723	Retrograde endocannabinoid signaling	170	19	119	15.97	19	85
46A	map00621	Dioxin degradation	170	4	31	12.9	4	85
1A	map02060	Phosphotransferase system (PTS)	168	10	72	13.89	10	84
13A	map04918	Thyroid hormone synthesis	168	3	53	5.66	3	84
47A	map04614	Renin-angiotensin system	168	1	22	4.55	1	84
47A	map04924	Renin secretion	168	1	50	2	1	84
47A	map05410	Hypertrophic cardiomyopathy	168	1	87	1.15	1	84
49A	map05410	Hypertrophic cardiomyopathy	168	2	87	2.3	2	84
3A	map02060	Phosphotransferase system (PTS)	166	12	72	16.67	12	83
13A	map04723	Retrograde endocannabinoid signaling	166	17	119	14.29	17	83
42A	map04964	Proximal tubule bicarbonate reclamation	166	3	14	21.43	3	83
46A	map05340	Primary immunodeficiency	166	3	37	8.11	3	83
46A	map05130	Pathogenic Escherichia coli infection	166	6	152	3.95	6	83
49A	map00930	Caprolactam degradation	166	8	22	36.36	8	83
49A	map04148	Efferocytosis	166	4	131	3.05	4	83
49A	map04924	Renin secretion	166	1	50	2	1	83
13A	map05206	MicroRNAs in cancer	164	2	222	0.9	2	82
42A	map00333	Prodigiosin biosynthesis	164	3	21	14.29	3	82
1A	map04148	Efferocytosis	162	3	131	2.29	3	81
3A	map05340	Primary immunodeficiency	162	3	37	8.11	3	81
13A	map04148	Efferocytosis	162	3	131	2.29	3	81
14A	map02060	Phosphotransferase system (PTS)	162	18	72	25	18	81
46A	map00604	Glycosphingolipid biosynthesis - ganglio series	162	2	14	14.29	2	81
47A	map00643	Styrene degradation	162	10	25	40	10	81
47A	map05340	Primary immunodeficiency	162	2	37	5.41	2	81
49A	map02060	Phosphotransferase system (PTS)	162	11	72	15.28	11	81
1A	map04920	Adipocytokine signaling pathway	160	2	54	3.7	2	80
3A	map05017	Spinocerebellar ataxia	160	9	116	7.76	9	80
42A	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	160	2	16	12.5	2	80
49A	map04979	Cholesterol metabolism	160	1	51	1.96	1	80
3A	map00531	Glycosaminoglycan degradation	158	3	15	20	3	79
3A	map00946	Degradation of flavonoids	158	3	21	14.29	3	79
5A	map00071	Fatty acid degradation	158	19	60	31.67	19	79
5A	map00074	Mycolic acid biosynthesis	158	5	35	14.29	5	79
14A	map03450	Non-homologous end-joining	158	3	19	15.79	3	79
46A	map05166	Human T-cell leukemia virus 1 infection	158	8	191	4.19	8	79
1A	map00622	Xylene degradation	156	5	34	14.71	5	78
1A	map05017	Spinocerebellar ataxia	156	5	116	4.31	5	78
13A	map00930	Caprolactam degradation	156	10	22	45.45	10	78
13A	map04113	Meiosis - yeast	156	5	103	4.85	5	78
14A	map00053	Ascorbate and aldarate metabolism	156	16	63	25.4	16	78
3A	map00622	Xylene degradation	154	7	34	20.59	7	77
46A	map00074	Mycolic acid biosynthesis	154	6	35	17.14	6	77
47A	map00622	Xylene degradation	154	3	34	8.82	3	77
47A	map04148	Efferocytosis	154	3	131	2.29	3	77
49A	map00966	Glucosinolate biosynthesis	154	2	21	9.52	2	77
14A	map00984	Steroid degradation	152	17	43	39.53	17	76
46A	map00364	Fluorobenzoate degradation	152	4	18	22.22	4	76
47A	map04917	Prolactin signaling pathway	152	1	57	1.75	1	76
1A	map00405	Phenazine biosynthesis	148	4	16	25	4	74
3A	map05166	Human T-cell leukemia virus 1 infection	148	3	191	1.57	3	74
5A	map04917	Prolactin signaling pathway	148	1	57	1.75	1	74
47A	map04964	Proximal tubule bicarbonate reclamation	148	3	14	21.43	3	74
1A	map00053	Ascorbate and aldarate metabolism	146	12	63	19.05	12	73
5A	map04964	Proximal tubule bicarbonate reclamation	146	3	14	21.43	3	73
42A	map00633	Nitrotoluene degradation	146	12	23	52.17	12	73
46A	map05169	Epstein-Barr virus infection	146	12	173	6.94	12	73
3A	map01054	Nonribosomal peptide structures	144	1	66	1.52	1	72
42A	map00531	Glycosaminoglycan degradation	144	2	15	13.33	2	72
42A	map02060	Phosphotransferase system (PTS)	144	8	72	11.11	8	72
46A	map04210	Apoptosis	144	4	112	3.57	4	72
47A	map02060	Phosphotransferase system (PTS)	144	8	72	11.11	8	72
49A	map05206	MicroRNAs in cancer	144	2	222	0.9	2	72
49A	map04820	Cytoskeleton in muscle cells	144	1	156	0.64	1	72
5A	map00531	Glycosaminoglycan degradation	142	2	15	13.33	2	71
42A	map00946	Degradation of flavonoids	142	3	21	14.29	3	71
47A	map00621	Dioxin degradation	142	3	31	9.68	3	71
49A	map03450	Non-homologous end-joining	142	3	19	15.79	3	71
1A	map05130	Pathogenic Escherichia coli infection	140	3	152	1.97	3	70
42A	map05166	Human T-cell leukemia virus 1 infection	140	2	191	1.05	2	70
49A	map00622	Xylene degradation	140	8	34	23.53	8	70
3A	map00621	Dioxin degradation	138	6	31	19.35	6	69
3A	map04920	Adipocytokine signaling pathway	138	3	54	5.56	3	69
5A	map05166	Human T-cell leukemia virus 1 infection	138	3	191	1.57	3	69
13A	map00966	Glucosinolate biosynthesis	138	2	21	9.52	2	69
46A	map00623	Toluene degradation	138	4	46	8.7	4	69
5A	map00310	Lysine degradation	136	18	99	18.18	18	68
14A	map00930	Caprolactam degradation	136	9	22	40.91	9	68
46A	map04964	Proximal tubule bicarbonate reclamation	136	2	14	14.29	2	68
46A	map05162	Measles	136	6	114	5.26	6	68
47A	map00946	Degradation of flavonoids	136	3	21	14.29	3	68
49A	map00960	"Tropane, piperidine and pyridine alkaloid biosynthesis"	136	5	40	12.5	5	68
3A	map00405	Phenazine biosynthesis	134	4	16	25	4	67
46A	map00984	Steroid degradation	134	19	43	44.19	19	67
46A	map02060	Phosphotransferase system (PTS)	134	11	72	15.28	11	67
46A	map01054	Nonribosomal peptide structures	134	1	66	1.52	1	67
49A	map00571	Lipoarabinomannan (LAM) biosynthesis	134	9	14	64.29	9	67
1A	map00625	Chloroalkane and chloroalkene degradation	132	8	43	18.6	8	66
1A	map00966	Glucosinolate biosynthesis	132	2	21	9.52	2	66
1A	map00624	Polycyclic aromatic hydrocarbon degradation	132	4	43	9.3	4	66
14A	map04011	MAPK signaling pathway - yeast	132	2	91	2.2	2	66
46A	map05160	Hepatitis C	132	6	109	5.5	6	66
49A	map00440	Phosphonate and phosphinate metabolism	132	15	47	31.91	15	66
49A	map00572	Arabinogalactan biosynthesis - Mycobacterium	132	4	13	30.77	4	66
49A	map00906	Carotenoid biosynthesis	132	10	61	16.39	10	66
49A	map00525	Acarbose and validamycin biosynthesis	132	3	27	11.11	3	66
1A	map01054	Nonribosomal peptide structures	130	1	66	1.52	1	65
3A	map04148	Efferocytosis	130	4	131	3.05	4	65
5A	map05340	Primary immunodeficiency	130	2	37	5.41	2	65
14A	map00401	Novobiocin biosynthesis	130	7	30	23.33	7	65
42A	map00624	Polycyclic aromatic hydrocarbon degradation	130	5	43	11.63	5	65
42A	map04920	Adipocytokine signaling pathway	130	2	54	3.7	2	65
46A	map00565	Ether lipid metabolism	130	6	31	19.35	6	65
46A	map05161	Hepatitis B	130	2	132	1.52	2	65
47A	map00531	Glycosaminoglycan degradation	130	3	15	20	3	65
1A	map00565	Ether lipid metabolism	128	6	31	19.35	6	64
3A	map00053	Ascorbate and aldarate metabolism	128	11	63	17.46	11	64
3A	map00624	Polycyclic aromatic hydrocarbon degradation	128	4	43	9.3	4	64
5A	map04148	Efferocytosis	128	3	131	2.29	3	64
14A	map05340	Primary immunodeficiency	128	3	37	8.11	3	64
46A	map05164	Influenza A	128	4	128	3.12	4	64
46A	map05170	Human immunodeficiency virus 1 infection	128	3	164	1.83	3	64
1A	map01051	Biosynthesis of ansamycins	126	2	32	6.25	2	63
1A	map05131	Shigellosis	126	3	204	1.47	3	63
3A	map00513	Various types of N-glycan biosynthesis	126	5	56	8.93	5	63
3A	map01051	Biosynthesis of ansamycins	126	1	32	3.12	1	63
46A	map04080	Neuroactive ligand-receptor interaction	126	3	332	0.9	3	63
3A	map00966	Glucosinolate biosynthesis	124	2	21	9.52	2	62
5A	map00513	Various types of N-glycan biosynthesis	124	3	56	5.36	3	62
14A	map00966	Glucosinolate biosynthesis	124	2	21	9.52	2	62
14A	map04113	Meiosis - yeast	124	4	103	3.88	4	62
42A	map00405	Phenazine biosynthesis	124	4	16	25	4	62
42A	map04113	Meiosis - yeast	124	1	103	0.97	1	62
46A	map00946	Degradation of flavonoids	124	3	21	14.29	3	62
46A	map05167	Kaposi sarcoma-associated herpesvirus infection	124	4	168	2.38	4	62
46A	map05168	Herpes simplex virus 1 infection	124	2	147	1.36	2	62
49A	map00524	"Neomycin, kanamycin and gentamicin biosynthesis"	124	2	58	3.45	2	62
5A	map00622	Xylene degradation	122	5	34	14.71	5	61
13A	map04964	Proximal tubule bicarbonate reclamation	122	3	14	21.43	3	61
13A	map00960	"Tropane, piperidine and pyridine alkaloid biosynthesis"	122	7	40	17.5	7	61
13A	map00621	Dioxin degradation	122	5	31	16.13	5	61
14A	map01051	Biosynthesis of ansamycins	122	1	32	3.12	1	61
14A	map05206	MicroRNAs in cancer	122	4	222	1.8	4	61
42A	map00053	Ascorbate and aldarate metabolism	122	12	63	19.05	12	61
42A	map01054	Nonribosomal peptide structures	122	1	66	1.52	1	61
46A	map05416	Viral myocarditis	122	3	47	6.38	3	61
46A	map04148	Efferocytosis	122	5	131	3.82	5	61
47A	map03022	Basal transcription factors	122	6	36	16.67	6	61
49A	map01054	Nonribosomal peptide structures	122	1	66	1.52	1	61
1A	map05206	MicroRNAs in cancer	120	2	222	0.9	2	60
3A	map05130	Pathogenic Escherichia coli infection	120	3	152	1.97	3	60
5A	map00946	Degradation of flavonoids	120	4	21	19.05	4	60
46A	map04215	Apoptosis - multiple species	120	2	40	5	2	60
46A	map04115	p53 signaling pathway	120	2	69	2.9	2	60
46A	map05222	Small cell lung cancer	120	2	74	2.7	2	60
1A	map00592	alpha-Linolenic acid metabolism	118	5	26	19.23	5	59
1A	map00621	Dioxin degradation	118	5	31	16.13	5	59
1A	map00524	"Neomycin, kanamycin and gentamicin biosynthesis"	118	2	58	3.45	2	59
1A	map04820	Cytoskeleton in muscle cells	118	2	156	1.28	2	59
5A	map00604	Glycosphingolipid biosynthesis - ganglio series	118	1	14	7.14	1	59
13A	map05142	Chagas disease	118	2	85	2.35	2	59
13A	map04011	MAPK signaling pathway - yeast	118	1	91	1.1	1	59
13A	map04820	Cytoskeleton in muscle cells	118	1	156	0.64	1	59
14A	map00531	Glycosaminoglycan degradation	118	7	15	46.67	7	59
42A	map00622	Xylene degradation	118	6	34	17.65	6	59
42A	map00625	Chloroalkane and chloroalkene degradation	118	7	43	16.28	7	59
46A	map04979	Cholesterol metabolism	118	2	51	3.92	2	59
46A	map05210	Colorectal cancer	118	1	72	1.39	1	59
46A	map05145	Toxoplasmosis	118	1	95	1.05	1	59
46A	map05163	Human cytomegalovirus infection	118	1	193	0.52	1	59
49A	map00566	Sulfoquinovose metabolism	118	16	49	32.65	16	59
49A	map00592	alpha-Linolenic acid metabolism	118	5	26	19.23	5	59
1A	map04382	Cornified envelope formation	116	5	88	5.68	5	58
1A	map04210	Apoptosis	116	2	112	1.79	2	58
3A	map00604	Glycosphingolipid biosynthesis - ganglio series	116	1	14	7.14	1	58
5A	map04113	Meiosis - yeast	116	3	103	2.91	3	58
46A	map00053	Ascorbate and aldarate metabolism	116	12	63	19.05	12	58
47A	map00513	Various types of N-glycan biosynthesis	116	3	56	5.36	3	58
49A	map00903	Limonene degradation	116	4	9	44.44	4	58
1A	map00401	Novobiocin biosynthesis	114	7	30	23.33	7	57
3A	map00440	Phosphonate and phosphinate metabolism	114	14	47	29.79	14	57
3A	map00625	Chloroalkane and chloroalkene degradation	114	9	43	20.93	9	57
13A	map00592	alpha-Linolenic acid metabolism	114	6	26	23.08	6	57
